Step,adamw,spectral sphere,muon,muon sphere
500,3.973445415496826,3.7322182655334473,3.742349624633789,3.522274971008301
1000,3.332078456878662,3.241917371749878,3.2248809337615967,3.1444082260131836
1500,3.143909454345703,3.095693349838257,3.0798635482788086,3.030324935913086
2000,3.053283452987671,3.0151660442352295,3.0040438175201416,2.963904381
2500,2.998873233795166,2.972292184829712,2.959495782852173,2.929788589477539
3000,2.9592957496643066,2.9337587356567383,2.9241771697998047,2.8957247734069824
3500,2.9273464679718018,2.914362907409668,2.9027907848358154,2.8778727054595947
4000,2.907583236694336,2.8896584510803223,2.887437343597412,2.861276626586914
4500,2.880664348602295,2.8732078075408936,2.8702852725982666,2.8454511165618896
5000,2.8674569129943848,2.853539467,2.8517847061157227,2.8306827545166016
5500,2.865807294845581,2.8458001613616943,2.8459482192993164,2.824298143386841
6000,2.854412556,2.8282506465911865,2.829075336456299,2.8083701133728027
6500,2.832993745803833,2.8179190158843994,2.8208465576171875,2.800618886947632
7000,2.8217360973358154,2.8072643280029297,2.808394432067871,2.7922399044036865
7500,2.8191754817962646,2.790773868560791,2.795386314,2.7789745330810547
8000,2.809610366821289,2.7842605113983154,2.7908337116241455,2.774357795715332
8500,2.803440570831299,2.7718305587768555,2.7792837619781494,2.7645046710968018
9000,2.792865514755249,2.7595407962799072,2.768824577331543,2.755532741546631
9500,2.7880406379699707,2.752389430999756,2.7646877765655518,2.7493627071380615
10000,2.777387857437134,2.743290424346924,2.7569026947021484,2.7431890964508057
10500,2.771643639,2.7322444915771484,2.748062849,2.734943151473999
11000,2.7598519325256348,2.718320846557617,2.736182451248169,2.721649169921875
11500,2.752835750579834,2.712162494659424,2.729840040206909,2.7181003093719482
12000,2.744507312774658,2.7037508487701416,2.7241251468658447,2.7112536430358887
12500,2.737959861755371,2.694772958755493,2.7163846492767334,2.7037124633789062
13000,2.7359347343444824,2.681563377380371,2.7033884525299072,2.6917452812194824
13500,2.725709915161133,2.6756720542907715,2.6995489597320557,2.6879208087921143
14000,2.715343475341797,2.6677238941192627,2.692805767059326,2.681657075881958
14500,2.7068400382995605,2.6552364826202393,2.6804888248443604,2.670734167098999
15000,2.6977860927581787,2.6441454887390137,2.6710996627807617,2.6603305339813232
15500,2.6922316551208496,2.6378040313720703,2.664045810699463,2.6544976234436035
16000,2.6854922771453857,2.6248724460601807,2.652250289916992,2.6427462100982666
16500,2.675309658050537,2.6202504634857178,2.6479198932647705,2.637739658355713
17000,2.668245315551758,2.610246181488037,2.6378867626190186,2.6281332969665527
17500,2.6619200706481934,2.600107431411743,2.627075433731079,2.617957830429077
18000,2.647566318511963,2.5961861610412598,2.6229004859924316,2.613737106323242
18500,2.6424155235290527,2.5892229080200195,2.615060806274414,2.606199026107788
19000,2.6351094245910645,2.5773422718048096,2.6022098064422607,2.593916654586792
19500,2.6268060207366943,2.5750136375427246,2.599452257156372,2.5910534858703613
20000,2.6236791610717773,2.570596218109131,2.594118356704712,2.5858869552612305
20500,2.616428852081299,2.5608277320861816,2.5830020904541016,2.574847698
21000,2.6084742546081543,2.555586338043213,2.577096462249756,2.568748712539673
21500,2.597435712814331,2.5526535511016846,2.573101758956909,2.5651638507843018
22000,2.596487045288086,2.5505361557006836,2.570361614227295,2.562196969985962
22500,2.5968997478485107,2.547245979309082,2.5665035247802734,2.558457136154175
23000,2.588282346725464,2.542808771133423,2.561474323272705,2.5534327030181885
23500,2.5916101932525635,2.541633367538452,2.560227155685425,2.5522871017456055
23841,2.593275308609009,2.5398037433624268,2.558546781539917,2.550636053085327
