steps,adamw_value,muon_value,muonball_value
0,14,1.99,0.87
500,1.07,0.2216796875,0.1923828125
1000,0.5664,0.1572265625,0.1689453125
1500,0.7656,0.11083984375,0.14453125
2000,1.078,0.15199497767857142,0.16713169642857142
2500,1.039,0.14474609375,0.1452734375
3000,0.8203,0.13671875,0.1689453125
3500,1.336,0.1455078125,0.1488715277777778
4000,0.8398,0.15394176136363635,0.1465731534090909
4500,0.8718,0.15511067708333334,0.16259765625
5000,1.07,0.15323893229166666,0.15388997395833334
5500,0.9675,0.1379296875,0.1257421875
6000,0.6331,0.16103515625,0.14921875
6500,0.5461,0.1533203125,0.1689453125
7000,0.784,0.1627197265625,0.1566162109375
7500,0.7109,0.16845703125,0.149169921875
8000,0.5287,0.1640625,0.15900213068181818
8500,0.6593,0.14453125,0.154296875
9000,0.6406,0.15482954545454544,0.15838068181818182
9500,0.3926,0.158203125,0.14453125
10000,0.4639,0.16796875,0.1279296875
10500,0.5035,0.16796875,0.15657552083333334
11000,0.6875,0.1646484375,0.1568359375
11500,0.5129,0.179931640625,0.13665771484375
12000,0.5064,0.1636962890625,0.1478271484375
12500,0.4843,0.16530539772727273,0.14799360795454544
13000,0.8086,0.1556640625,0.1318359375
13500,0.2969,0.1572265625,0.13431803385416666
14000,0.3047,0.158984375,0.13486328125
14500,0.3184,0.15234375,0.1261935763888889
15000,0.5313,0.158203125,0.138671875
15500,0.2617,0.1590576171875,0.14306640625
16000,0.315,0.15006510416666666,0.1300998263888889
16500,0.2773,0.169921875,0.12758091517857142
17000,0.2168,0.1513671875,0.126708984375
17500,0.2813,0.16357421875,0.1275390625
18000,0.75,0.12109375,0.1103515625
18500,0.2354,0.1904296875,0.10498046875
19000,0.2637,0.17057291666666666,0.1317816840277778
19500,0.2432,0.158447265625,0.11661783854166667
20000,0.6719,0.18229166666666666,0.119384765625
20500,0.1855,0.16796875,0.10498046875
21000,0.1895,0.17822265625,0.11124674479166667
21500,0.1973,0.197265625,0.1416015625
22000,0.1792,0.1966796875,0.120068359375
22500,0.1533,0.203125,0.1484375
23000,0.1729,0.18777901785714285,0.11690848214285714
